"sku","name","description","price","weight","image","meta_description","url_path","short_description","image_label","category_ids"
"7015","Novaclin Super P","<p>Composici&oacute;n</p> <p>Combinaci&oacute;n de tenso-activos cati&oacute;nicos y no-i&oacute;nicos con aditivos antiest&aacute;ticos, suavizantes, aprestante, avivadores de color, desodorantes y bactericidas.</p>
<p>Propiedades</p>
<p><strong>Novaclin Super P</strong> est&aacute; especialmente formulado para ser usado en m&aacute;quinas de circuito cerrado.</p>
<p><strong>Novaclin Super P</strong> posee un enorme poder antiest&aacute;tico que evita el problema de las cargas el&eacute;ctricas y las redeposiciones de pelusa sobre los tejidos, reduciendo obviamente el peligro de los agrisamientos. Las prendas reciben un taco pleno, suave y muy agradable. Se evitan problemas de arrugas en el secado y se aumenta el rendimiento del planchado. Adem&aacute;s de los excelentes efectos de <strong>Novaclin Super P</strong> sobre los textiles de fibras naturales y sint &eacute;titcas, tambi&eacute;n los colores aumentan su luminosidad en los tonos pastel y sobre todo en los tejidos blancos.</p>
<p><strong>Novaclin Super P</strong> contiene substancias que eliminan los olores desagradables, tanto en el ba&ntilde;o de limpieza como en las prendas despu&eacute;s de ser lavadas. Tambi&eacute;n contiene aditivos suavizantes que facilitan el deslizamiento de las cremalleras met&aacute;licas o de pl&aacute;stico.</p>
<p><strong>Novaclin Super P</strong> atraviesa perfectamente todos los sistemas de filtro y se destila sin ning&uacute;n problema.</p>
<p>Aplicaci&oacute;n</p>
<p><strong>Novaclin Super P</strong> es muy apropiado para ser utlizado en los sistemas de dosificaci&oacute;n autom&aacute;tica y se aplica concentrado en la forma siguiente:</p>
<p>Adici&oacute;n inicial: 1 - 2,5 ml. de <strong>Novaclin Super P</strong> por litro de percloroetileno (contando ba&ntilde;o + filtro).</p>
<p>Adiciones posteriores: 4 - 5 ml de <strong>Novaclin Super P</strong> por kg. de ropa (seg&uacute;n el tipo de prendas y el grado de suciedad).</p>
<p>Si se trabaja en el proceso de dos ba&ntilde;os, a&ntilde;adir siempre el producto en el segundo ba&ntilde;o.</p>","53.8500","25.0000","/n/o/novaclin-super-p_5.jpg","Novaclin Super P es un jabón para la limpieza en seco, antiestatico, desodorante y bactericida de uso en tintoerias y lavanderias","/novaclin-super-p-6.html","<p>Jab&oacute;n para la limpieza en seco, antiestatico, desodorante y bactericida.</p>
<p>Disponible envases de 5 y 25 Lt</p>","Novaclin Super P","8,20"
"7736","Preclin P","<p>Combinacion de tensioactivos aniocos y no-ionicos de alta calidad.</p>
<p><strong>Preclin P</strong> es un activador de limpieza para emplear en sistema de dos ba&ntilde;os y destilaci&oacute;n cont&iacute;nua que evita el precepillado manual de las prendas.</p>
<p><strong>Preclin P</strong> emulsiona perfe ctamente la humedad presente en el ba&ntilde;o evitando agrisamientos, encogimientos y p&eacute;rdidas de color.</p>
<p><strong>Preclin P</strong> reduce cualquier riesgo de da&ntilde;ar los colores m&aacute;s delicados o de alterar la estructura de las fibras m&aacute;s sensibles.</p>
<p><strong>Preclin P</strong> desprende las borras y no permite que &eacute;stas se adhieran a las paredes interiores del tambor de la m&aacute;quina.</p>","52.5000","25.0000","/p/r/preclin-p_5.jpg","Preclin P es un activador de la limpieza en seco con gran efecto de disolución de la suciedad. Preclin P se utiliza en tintorerias y lavanderias.","/preclin-p.html","<p><strong>Preclin P</strong> es un activador de la limpieza en seco con gran efecto de disoluci&oacute;n de la suciedad para emplear en el primer ba&ntilde;o de m&aacute;quinas de seco con percloroetileno.</p>
<p>Disponible en envases de 5L y 25L</p>
<p>Envase 5L, el litro sale a <strong>10,50 €</strong><br/>
Envase  25L, el litro sale a <strong>9,04 €</strong></p>","Preclin P","8"
"7031","Lacol","<p style=""text-align: justify;""><strong>Lacol</strong> Pre- y postdesmanchador para manchas de pintura, laca y pegamentos.</p>
<p style=""text-align: justify;"">Desmanchador l&iacute;quido recomendado para quitar las manchas tenaces de pintura, laca, barniz, pegamento, resina sint&eacute;tica y natural, esmalte para u&ntilde;as, unto negro con abrasivo met&aacute;lico, pasta de bol&iacute;grafo, tinta para sellos, l&aacute;piz labial, tinta y cera, obteni&eacute;ndose tambi&eacute;n gran &eacute;xito sobre las manchas de grasa de origen desconocido.</p>","17.6900","5.0000","/l/a/lacol-quitamanchas.jpg","Lacol es un quitamanchas para tintorerias. Elimina las manchas de pintura, laca, pegamento, alquitran, grasa, resina sintética y natural, esmalte para uñass, unto negro con abrasivo metálico, pasta de bolígrafo, tinta para sello","/lacol.html","<p style=""text-align: left;"">Elimina las manchas de pintura, laca, pegamento, alquitran, grasa, etc.</p>
<p style=""text-align: left;"">Envase 1/5Lt</p>","Quitamanchas Lacol","10,23"
"7027","Colorsol","<p>Desmanchador liquido con pronunciada capacidad de solubizar las manchas de color procedentes de colorantes naturales y sinteticos.</p><p><strong>Colorsol</strong> quita las manchas de lapiz labial, boligrafo, vino, mostaza, pasta para el calzado, tinta, colores de imprenta, maquillaje, asi como tinturas impresas o sangradas.</p>","17.5800","1.0000","/c/o/colorsol_3.jpg","Desmanchador liquido con pronunciada capacidad de solubizar las manchas de color procedentes de colorantes naturales y sinteticos de uso en tintorerias","/colorsol.html","<p style=""text-align: left;"">Elimina las&nbsp; manchas de los deste&ntilde;idos, sangrados, tintas, maquillajes.</p><p style=""text-align: left;"">Envase 1/5Lt</p>","Quitamanchas Colorsol","10,23"
"8063","Taifun Spezial","<p>Taifun Spezial puede emplearse en m&aacute;quina y en precepillado.</p>
<p>Taifun Spezial tiene un gran poder de limpieza y solubiliza perfectamente la suciedad. Su alta capacidad emulsionante de agua, regula la humedad en el ba&ntilde;o de limpieza.</p>
<p>Los aditivos antiest&aacute;ticos disminuyen el peligro de agrisamientos y las prendas tratadas con Taifun Spezial reciben un tacto suave y voluminoso.</p>
<p>Taifun Spezial es neutro y contiene aditivos anticorrosivos. Sus mezclas con agua son fluidas y claras.</p>
<p>Taifun Spezial pasa perfectamente por los filtros y no causa ning&uacute;n problema en la destilaci&oacute;n.</p>","105.4000","20.0000","/t/a/taifun-spezial_1.jpg","Reforzador de limpieza en seco para utilizar con percloroetileno de uso en tintorerias y lavanderias.","/taifun-spezial.html","Reforzador de Limpieza en Seco para utilizar con Percloroetileno<p>Envase  20L, el litro sale a <strong>5,27 €</strong></p>","Taifun Spezial","8"
"06","Frankosol","<p>Pre- y postdesmanchador para manchas magras.</p><p>Desmanchador l&iacute;quido recomendado para manchas de azucar, mostaza, helado, moho, almid&oacute;n, alb&uacute;mina, miel, licor, comidas, cerveza, suciedad de la calle (pigmentos), chocolate, orina y otras manchas magras.</p>","20.1900","15.0000","/f/r/frankosol_1.jpg","Frankosol es un pre y postdesmanchador para manchas de comida. Frankosol es utilizado en tintorerias y lavanderias.","/frankosol.html","Desmanchador líquido recomendado para manchas de azucar, mostaza, helado, moho, almidón, albúmina, miel, licor, comidas, cerveza, suciedad de la calle (pigmentos), chocolate, orina y otras manchas magras.","Quitamanchas Frankosol","10,23"
"0216","Blutol","<p>Pre y postdesmanchador para manchas de sangre y alb&uacute;mina.</p><p>Desmanchador l&iacute;quido especialmente apropiado para quitar manchas de sangre, alb&uacute;mina fresca, comidas, sopas, salsas de pescado y carne, leche, helado, crema, lacticinios, chocolate, cacao, mayonesa, sudor, v&oacute;mitos y sustancias similares.</p>","17.5800","1.0000","/b/l/blutol-quitamanchas.jpg","Blutol es un quitamanchas para tintorerias. Elimina las mancha de sangre, comidas, chocolate, sudor, vómitos, etc.","/quitamanchas-blutol.html","<p style=""text-align: left;"">Elimina las manchas de sangre, comidas, chocolate, sudor,etc.</p><p style=""text-align: left;"">Envase 1/5Lt</p>","Quitamanchas Blutol","10,23"
"7000","Polysol SL","<p>Predesmanchador para utilizar a cepillo.Se aplica puro o mezclado con agua en proporci&oacute;n 1:1.</p><p><strong>Polysol SL</strong> act&uacute;a eficazmente sobre la suciedad grasa y magra en los cuellos, forros, bolsillos de pantalones, etc.</p>","35.7000","25.0000","/p/o/polysol-sl_2.jpg","Polysol SL es un predesmanchador para utilizar a cepillo. Polysol SL actúa eficazmente sobre la suciedad grasa y magra en los cuellos, forros, bolsillos de pantalones, etc. Polysol SL se usa en Tintorerias.","/polysol-sl.html","<p style=""text-align: left;"">Predesmanchador para utilizar a cepillo.</p><p style=""text-align: left;"">Disponible en envases de 5 y 25 Lt</p><p>Envases 10L, el litro sale a <strong>7,14 €</strong><br/>Envases  25L, el litro sale a <strong>6,85 €</strong></p>","Polysol SL","8,21"
"7885","Novaclin Fresh","<p style=""text-align: justify;"">Combinacion de tenso-activos cationicos altamente concentrados.</p>
<p style=""text-align: justify;"">Aditivos muy antiestaticos que evitan la redeposicion de pelusas.</p>
<p style=""text-align: justify;"">Aditivos suavizantes y aprestantes que evitan arrugas y facilitan el planchado</p>
<p style=""text-align: justify;"">. Avivadores de color, desodorantes y bactericidas .</p>
<p style=""text-align: justify;"">Las prendas obtienen una especial fragancia, similar a como si se hubiesen lavado en agua.</p>","81.3000","25.0000","/n/o/novaclin-fresh_2.jpg","Novaclin Fresh es un jabon para lavado en seco, antiestatico, avivador del color, perfumado y bactericida. Novaclin Fresh se usa en tintorerias y landerias.","/novaclin-fresh.html","<p style=""text-align: left;"">Jabon para lavado en seco, antiestatico,avivador del color ,perfumado y bactericida.</p>
<p>Envase 5L, el litro sale a <strong>16,26 €</strong><br/>
Envases  25L, el litro sale a <strong>13,76 €</strong></p>","Novaclin Fresh","8,20"
"5555","Antiarrugas  Planchado","Spray antiestatico para quitar arrugas persistentes","4.8000","0.2000","/s/p/spray-antiarrugas-planchado.jpg","Spray antiestatico para quitar arrugas persistentes en el planchado de uso en tintorerias y lavanderias.","/elimina-arrugas-planchado.html","Wrinkle Remover elimina las arrugas y facilita el planchado.","Spray Antiarrugas Planchado","12,48"
